Incident ID;Agency;Offense;Street;City;State;Longitude;Latitude;Forcible;maps;Date of Report;Hour of Report;Date of Occurence;Hour of Occurence;Date Found;Hour Found;Apartment;Zipcode;Reported As;Premise Description;Victim Age;Weapon Description;Victim Race;Victim Gender 
141080;CHPD;ASSIST OTHER AGENCY;500 SYKES ST;CHAPEL HILL;NC;-79.06568798;35.91605949;N;35.91605949, -79.06568798;2017-03-02;7:16:00;2017-03-02;7:16:00;2017-03-02;7:16:00;B;27516;UNKNOWN PROBLEM;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;;
141839;CHPD;SIMPLE ASSAULT-OTHER;202 W ROSEMARY ST;CHAPEL HILL;NC;-79.0579172;35.91376889;Y;35.91376889, -79.0579172;2017-03-18;23:59:59;2017-03-18;23:59:59;2017-03-18;23:59:59;;27516;ASSAULT/SEXUAL;RESTAURANT;36.0;PERSONAL WEAPONS (HANDS  FEET;A;M
141871;CHPD;LOUD MUSIC/PARTY;707 GOMAINS AVE;CHAPEL HILL;NC;-79.06683196;35.91540269;N;35.91540269, -79.06683196;2017-03-18;17:23:00;2017-03-18;16:23:00;2017-03-18;17:23:00;;27516;DISTURBANCE/NUI;HOME OF OFFENDER - SINGLE FAMI;;NOT APPLICABLE/NONE;;
141847;CHPD;VANDALISM / DAMAGE TO PROPERTY (WILLFUL);110 GLADE ST;CHAPEL HILL;NC;-79.07228515;35.88605101;N;35.88605101, -79.07228515;2017-03-18;10:42:00;2017-03-18;10:42:00;2017-03-18;10:42:00;;27516;PUBLIC SERVICE;HIGHWAY/ROAD/STREET  ETC.;40.0;NOT APPLICABLE/NONE;W;M
141861;CHPD;FUNERAL ESCORT;7904 ROGERS RD;CHAPEL HILL;NC;-79.08510417;35.9603932;N;35.9603932, -79.08510417;2017-03-18;6:42:00;2017-03-18;6:42:00;2017-03-18;6:42:00;;27516;ESCORT;ALL OTHER;;NOT APPLICABLE/NONE;;
141827;CHPD;INFORMATION;100 LIBRARY DR;CHAPEL HILL;NC;-79.03572266;35.93219297;N;35.93219297, -79.03572266;2017-03-17;18:06:00;2017-03-17;16:00:00;2017-03-17;18:06:00;;27514;DAMAGE/VANDALIS;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
141829;CHPD;B&E RESIDENCE-FORCE;2701 HOMESTEAD RD;CHAPEL HILL;NC;-79.06216213;35.9507176;Y;35.9507176, -79.06216213;2017-03-17;18:36:00;2017-03-10;17:00:00;2017-03-17;18:36:00;801;27516;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;21.0;JIMMY/PRY TOOL OR DEVICE;W;M
141760;CHPD;VOLUNTARY MENTAL COMMITMENT;XX XX;CHAPEL HILL;NC;;;N;;2017-03-16;23:11:00;2017-03-16;23:11:00;2017-03-16;23:11:00;;27514;SUICIDE ATTEMPT;PHARMACY;;NOT APPLICABLE/NONE;W;M
141755;CHPD;FRAUD-ALL OTHER;1200 RALEIGH RD;CHAPEL HILL;NC;-79.02620744;35.90780202;N;35.90780202, -79.02620744;2017-03-16;11:06:00;2017-03-15;9:00:00;2017-03-16;9:05:00;;27517;FRAUD OR DECEPT;GROCERY/SUPERMARKET;63.0;NOT APPLICABLE/NONE;W;F
141753;CHPD;CREDIT CARD/ATM FRAUD;509 MORGAN CREEK RD;CHAPEL HILL;NC;-79.0491013;35.89113306;;35.89113306, -79.0491013;2017-03-16;15:30:00;2017-03-01;12:00:00;2017-03-16;15:00:00;;27517;FRAUD OR DECEPT;HOME OF VICTIM - SINGLE FAMILY;63.0;NOT APPLICABLE/NONE;W;M
141704;CHPD;DEATH INVESTIGATION;1503 MANLY ST;CHAPEL HILL;NC;-79.01221975;35.93033101;N;35.93033101, -79.01221975;2017-03-15;8:18:00;2017-03-15;8:18:00;2017-03-15;8:18:00;;27517;CARDIAC ARREST;HOME OF VICTIM - SINGLE FAMILY;56.0;NOT APPLICABLE/NONE;W;M
141692;CHPD;SUSPICIOUS PERSON;101 ERWIN RD;CHAPEL HILL;NC;-79.01959938;35.94340903;;35.94340903, -79.01959938;2017-03-15;6:37:00;2017-03-15;6:30:00;2017-03-15;6:35:00;;27514;SUSPICIOUS/WANT;PARKING LOT/AREA;42.0;NOT APPLICABLE/NONE;B;F
141690;CHPD;SUSPICIOUS PERSON;220 ELIZABETH ST;CHAPEL HILL;NC;-79.04198605;35.92570528;;35.92570528, -79.04198605;2017-03-15;23:59:59;2017-03-15;23:59:59;2017-03-15;23:59:59;A1;27514;SUSPICIOUS/WANT;HOME OF VICTIM - OTHER DWELLING;51.0;NOT APPLICABLE/NONE;W;F
141609;CHPD;SUSPICIOUS VEHICLE;109 MCMASTERS ST at CHURCH ST;CHAPEL HILL;NC;-79.06191254;35.91876984;N;35.91876984, -79.06191254;2017-03-13;23:59:59;2017-03-13;23:59:59;2017-03-13;23:59:59;;27516;TRAFFIC STOP;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141417;CHPD;DOMESTIC ASSISTANCE;1060 NC 54;CHAPEL HILL;NC;-79.06515375;35.89867045;N;35.89867045, -79.06515375;2017-03-09;16:32:00;2017-03-09;16:32:00;2017-03-09;16:32:00;D1;27516;PUBLIC SERVICE;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141374;CHPD;B&E RESIDENCE-FORCE;5639 OLD CHAPEL HILL RD;DURHAM;NC;-79.00180054;35.94472122;Y;35.94472122, -79.00180054;2017-03-08;17:28:00;2017-03-08;7:20:00;2017-03-08;17:00:00;1407;27707;THEFT/LARCENY;HOME OF VICTIM - OTHER DWELLING;26.0;PERSONAL WEAPONS (HANDS  FEET;W;M
141346;CHPD;ALCOHOL VIOLATIONS;310 W FRANKLIN ST;CHAPEL HILL;NC;-79.0607145;35.91193119;N;35.91193119, -79.0607145;2017-03-08;9:59:00;2017-03-08;9:59:00;2017-03-08;9:59:00;;27516;MISC OFFICER IN;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141304;CHPD;NOISE PERMIT;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;;35.92695367, -79.05292697;2017-03-07;10:43:00;2017-03-07;10:43:00;2017-03-07;10:43:00;;27514;MISC OFFICER IN;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
142319;CHPD;VANDALISM / DAMAGE TO PROPERTY (WILLFUL);201 BROOKGREEN DR;CHAPEL HILL;NC;-79.06724987;35.88213803;N;35.88213803, -79.06724987;2017-03-30;13:05:00;2017-03-24;15:00:00;2017-03-24;18:00:00;;27516;DAMAGE/VANDALIS;HOME OF VICTIM - OTHER DWELLING;52.0;OTHER WEAPON;W;F
142297;CHPD;ASSAULT WITH A DEADLY WEAPON;454 W FRANKLIN ST;CHAPEL HILL;NC;-79.0626255;35.91086348;Y;35.91086348, -79.0626255;2017-03-29;16:46:00;2017-03-29;23:59:59;2017-03-29;16:46:00;;27516;ASSAULT/SEXUAL;BEHIND BUILDING/ALLEY;49.0;PERSONAL WEAPONS (HANDS  FEET;W;M
142296;CHPD;HARASSMENT;711 N HERITAGE CIR;CHAPEL HILL;NC;-79.06231701;35.94753359;N;35.94753359, -79.06231701;2017-03-29;16:14:00;2017-03-29;16:13:00;2017-03-29;16:14:00;;27516;HARASSMENT/STAL;HOME OF VICTIM - OTHER DWELLING;22.0;NOT APPLICABLE/NONE;W;F
142289;CHPD;TOWED VEHICLE;306 HENDERSON ST;CHAPEL HILL;NC;-79.05398921;35.91677875;N;35.91677875, -79.05398921;2017-03-29;14:25:00;2017-03-29;14:25:00;2017-03-29;14:25:00;;27514;TRAFFIC VIOLATI;HIGHWAY/ROAD/STREET  ETC.;23.0;NOT APPLICABLE/NONE;W;M
142304;CHPD;LARCENY-SHOPLIFTING;1860 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05878526;35.96665966;N;35.96665966, -79.05878526;2017-03-29;21:45:00;2017-03-29;21:44:00;2017-03-29;21:45:00;;27514;THEFT/LARCENY;CONVENIENCE STORE;;PERSONAL WEAPONS (HANDS  FEET;;
142244;CHPD;ALCOHOL VIOLATIONS;325 W ROSEMARY ST;CHAPEL HILL;NC;-79.06052437;35.91214663;;35.91214663, -79.06052437;2017-03-28;1:52:00;2017-03-28;1:52:00;2017-03-28;1:52:00;;27516;MISC OFFICER IN;PARKING LOT/AREA;;NOT APPLICABLE/NONE;;
139096;CHPD;DISTURBING THE PEACE;114 ASHLEY FOREST RD;CHAPEL HILL;NC;-79.0563336;35.94418875;N;35.94418875, -79.0563336;2017-01-21;14:56:00;2017-01-21;14:20:00;2017-01-21;14:25:00;B;27514;DISTURBANCE/NUI;OTHER RESIDENCE - OTHER DWELLING;;NOT APPLICABLE/NONE;;
139070;CHPD;B&E    LARCENY F/VEHICLE;201 S ESTES DR;CHAPEL HILL;NC;-79.0297071;35.92785452;Y;35.92785452, -79.0297071;2017-01-20;19:38:00;2017-01-20;18:21:00;2017-01-20;19:38:00;;27514;THEFT/LARCENY;PARKING LOT/AREA;24.0;PUNCTURING TOOL/DEVICE;B;F
138938;CHPD;GUNSHOTS HEARD;751 TRINITY CT;CHAPEL HILL;NC;-79.06335472;35.91961947;U;35.91961947, -79.06335472;2017-01-17;22:45:00;2017-01-17;22:45:00;2017-01-17;22:45:00;;27516;WEAPON/FIREARMS;UNKNOWN;;UNDETERMINED FIREARM;;
138811;CHPD;ALARM;1709 HIGH SCHOOL RD;CHAPEL HILL;NC;-79.08056977;35.94652745;;35.94652745, -79.08056977;2017-01-15;2:10:00;2017-01-15;2:10:00;2017-01-15;2:10:00;;27516;ALARMS;SCHOOL/COLLEGE;;UNKNOWN/NOT STATED;;
138686;CHPD;SIMPLE ASSAULT-OTHER;166 E ROSEMARY ST at HENDERSON ST;CHAPEL HILL;NC;-79.0533905;35.9152298;U;35.9152298, -79.0533905;2017-01-13;2:12:00;2017-01-13;2:12:00;2017-01-13;2:12:00;;27514;ASSAULT/SEXUAL;HIGHWAY/ROAD/STREET  ETC.;21.0;NOT APPLICABLE/NONE;W;M
138669;CHPD;IDENTITY THEFT/FRAUD;200 COSGROVE AVE;CHAPEL HILL;NC;-79.01625824;35.94401932;N;35.94401932, -79.01625824;2017-01-12;16:58:00;2017-01-10;12:42:00;2017-01-12;16:58:00;;27514;PUBLIC SERVICE;ALL OTHER;38.0;NOT APPLICABLE/NONE;W;M
138642;CHPD;B&E VEH (ATT LAR F/VEH);113 CONNER DR;CHAPEL HILL;NC;-79.03246405;35.92901669;;35.92901669, -79.03246405;2017-01-12;9:03:00;2017-01-06;17:00:00;2017-01-12;8:55:00;106;27514;THEFT/LARCENY;ENCLOSED PARKING/DECK;49.0;NOT APPLICABLE/NONE;W;F
139666;CHPD;DRIVING WHILE IMPAIRED;299 RALEIGH ST at SOUTH RD;CHAPEL HILL;NC;-79.04662323;35.91000366;N;35.91000366, -79.04662323;2017-02-02;3:00:00;2017-02-02;3:00:00;2017-02-02;3:00:00;;27514;TRAFFIC STOP;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
139754;CHPD;LOUD MUSIC/PARTY;208 CHURCH ST;CHAPEL HILL;NC;-79.05883716;35.9138177;N;35.9138177, -79.05883716;2017-02-02;22:45:00;2017-02-02;22:45:00;2017-02-02;22:45:00;;27516;DISTURBANCE/NUI;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
139752;CHPD;LOUD MUSIC/PARTY (UNFOUNDED);138 JOHNSON ST;CHAPEL HILL;NC;-79.06976293;35.90486737;N;35.90486737, -79.06976293;2017-02-02;22:29:00;2017-02-02;22:29:00;2017-02-02;22:29:00;A;27516;DISTURBANCE/NUI;OTHER RESIDENCE - OTHER DWELLING;;NOT APPLICABLE/NONE;;
139535;CHPD;FRAUD-ALL OTHER;1702 E FRANKLIN ST;CHAPEL HILL;NC;-79.02708564;35.93576994;N;35.93576994, -79.02708564;2017-01-30;16:27:00;2017-01-30;16:27:00;2017-01-30;16:27:00;;27514;FRAUD OR DECEPT;FINANCIAL INSTITUTION;62.0;NOT APPLICABLE/NONE;B;M
139483;CHPD;B&E RESIDENCE-FORCE;312 BARCLAY RD;CHAPEL HILL;NC;-79.06395306;35.9279946;Y;35.9279946, -79.06395306;2017-01-29;10:24:00;2017-01-29;10:24:00;2017-01-29;10:24:00;;27516;BURGLARY/HOME I;HOME OF VICTIM - SINGLE FAMILY;47.0;POUNDING TOOL/DEVICE;W;M
139274;CHPD;INFORMATION;1705 AUDUBON RD;CHAPEL HILL;NC;-79.03766166;35.93756009;N;35.93756009, -79.03766166;2017-01-25;16:27:00;2017-01-25;16:27:00;2017-01-25;16:27:00;;27514;HARASSMENT/STAL;HOME OF VICTIM - OTHER DWELLING;;NOT APPLICABLE/NONE;W;F
139228;CHPD;B&E    LARCENY F/VEHICLE;22 VANCE ST;CHAPEL HILL;NC;-79.05702499;35.90609855;N;35.90609855, -79.05702499;2017-01-24;16:08:00;2017-01-02;23:00:00;2017-01-03;19:00:00;;27514;THEFT/LARCENY;HIGHWAY/ROAD/STREET  ETC.;26.0;NOT APPLICABLE/NONE;W;M
139115;CHPD;SIMPLE ASSAULT-OTHER;122 E FRANKLIN ST;CHAPEL HILL;NC;-79.05482839;35.91323996;;35.91323996, -79.05482839;2017-01-22;3:10:00;2017-01-22;3:10:00;2017-01-22;3:10:00;;27514;ASSAULT/SEXUAL;RESTAURANT;19.0;PERSONAL WEAPONS (HANDS  FEET;A;M
139063;CHPD;POSSESSING/CONCEALING STOLEN FIREARM;1749 DOBBINS DR;CHAPEL HILL;NC;-79.01559278;35.94591312;;35.94591312, -79.01559278;2017-01-20;19:21:00;2017-01-20;19:21:00;2017-01-20;19:21:00;A;27514;LE ASSISTANCE;HOME OF OFFENDER - OTHER DWELL;69.0;SHOTGUN;B;M
139023;CHPD;LOUD MUSIC/PARTY;213 CONNER DR;CHAPEL HILL;NC;-79.02992725;35.93213235;N;35.93213235, -79.02992725;2017-01-19;23:21:00;2017-01-19;23:21:00;2017-01-19;23:21:00;19;27514;DISTURBANCE/NUI;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
138903;CHPD;DAMAGED VEHICLE;157 E ROSEMARY ST;CHAPEL HILL;NC;-79.05410045;35.91526448;N;35.91526448, -79.05410045;2017-01-17;11:02:00;2017-01-17;11:02:00;2017-01-17;11:02:00;;27514;PUBLIC SERVICE;PARKING LOT/AREA;;NOT APPLICABLE/NONE;;
138868;CHPD;SIMPLE ASSAULT-OTHER;127 E FRANKLIN ST;CHAPEL HILL;NC;-79.05485618;35.91380882;N;35.91380882, -79.05485618;2017-01-16;2:18:00;2017-01-16;2:18:00;2017-01-16;2:18:00;;27514;DISTURBANCE/NUI;RESTAURANT;;PERSONAL WEAPONS (HANDS  FEET;W;M
138850;CHPD;DAMAGE TO PROPERTY(NON-CRIMINAL);828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;;35.92695367, -79.05292697;2017-01-15;15:41:00;2017-01-15;15:40:00;2017-01-15;15:40:00;;27514;INFO MESSAGE;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
138810;CHPD;ALCOHOL OVERDOSE;237 MCCAULEY ST;CHAPEL HILL;NC;-79.05754153;35.9069268;N;35.9069268, -79.05754153;2017-01-15;1:46:00;2017-01-15;1:46:00;2017-01-15;1:46:00;;27516;OVERDOSE;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;NOT APPLICABLE/NONE;W;F
138709;CHPD;LARCENY-SHOPLIFTING;1801 FORDHAM BLVD;CHAPEL HILL;NC;-79.0127921;35.94782637;;35.94782637, -79.0127921;2017-01-13;12:27:00;2017-01-13;10:00:00;2017-01-13;10:05:00;;27514;THEFT/LARCENY;OTHER RETAIL ESTABLISHMENT;;NOT APPLICABLE/NONE;;
138658;CHPD;OVERDOSE;203 CEDAR BERRY LN;CHAPEL HILL;NC;-79.00826612;35.90760059;N;35.90760059, -79.00826612;2017-01-12;13:15:00;2017-01-12;13:15:00;2017-01-12;13:15:00;;27517;OVERDOSE;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;W;M
138628;CHPD;OBTAINING MONEY BY FALSE PRETENSE;7 KENDALL DR;CHAPEL HILL;NC;-79.01882069;35.91830511;N;35.91830511, -79.01882069;2017-01-11;15:43:00;2016-12-28;12:00:00;2016-12-31;13:00:00;;27517;FRAUD OR DECEPT;ALL OTHER;64.0;NOT APPLICABLE/NONE;W;M
138552;CHPD;INFORMATION;101 BEAVER DAM CT;CHAPEL HILL;NC;-79.02124786;35.94161606;N;35.94161606, -79.02124786;2017-01-09;15:49:00;2017-01-09;15:49:00;2017-01-09;15:49:00;;27514;INFO MESSAGE;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;W;F
138528;CHPD;COMMUNICATING THREATS;411 HIGHVIEW DRIVE;CHAPEL HILL;NC;-79.00354846;35.93492323;N;35.93492323, -79.00354846;2017-01-08;16:47:00;2017-01-08;16:37:00;2017-01-08;16:37:00;;27514;;HOME OF VICTIM - SINGLE FAMILY;51.0;NOT APPLICABLE/NONE;W;F
138429;CHPD;SPEED SATURATION;RALEIGH RD at W BARBEE CHAPEL RD;CHAPEL HILL;NC;;;N;;2017-01-05;12:05:00;2017-01-05;10:00:00;2017-01-05;12:00:00;;27517;TRAFFIC STOP;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
138433;CHPD;DROP BOX;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;;35.92695367, -79.05292697;2017-01-05;13:21:00;2017-01-05;13:21:00;2017-01-05;13:21:00;;27514;MISC OFFICER IN;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
138240;CHPD;LOUD MUSIC/PARTY;130 S ESTES DR;CHAPEL HILL;NC;-79.03178581;35.92628593;N;35.92628593, -79.03178581;2017-01-01;22:48:00;2017-01-01;22:48:00;2017-01-01;22:48:00;J2;27514;DISTURBANCE/NUI;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
141010;CHPD;SIMPLE ASSAULT-OTHER;XX XX;CHAPEL HILL;NC;;;Y;;2017-02-28;12:18:00;2017-02-28;12:18:00;2017-02-28;12:18:00;;27514;SUSPICIOUS/WANT;HIGHWAY/ROAD/STREET  ETC.;;PERSONAL WEAPONS (HANDS  FEET;W;F
140988;CHPD;TRAFFIC-SPEED ENFORCEMENT SATURATION;RALEIGH RD at GREENWOOD RD;CHAPEL HILL;NC;-79.03466797;35.9102211;;35.9102211, -79.03466797;2017-02-28;5:43:00;2017-02-28;5:43:00;2017-02-28;5:43:00;;27514;TRAFFIC VIOLATI;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
140989;CHPD;SUSPICIOUS CONDITION;114 JOHNSON ST;CHAPEL HILL;NC;-79.0674764;35.90463945;;35.90463945, -79.0674764;2017-02-28;8:55:00;2017-02-27;13:30:00;2017-02-27;21:30:00;A;27516;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;;NOT APPLICABLE/NONE;;
140884;CHPD;SOLICITING WITHOUT A PERMIT;303 LONE PINE RD;CHAPEL HILL;NC;-79.04585858;35.92180199;;35.92180199, -79.04585858;2017-02-25;17:15:00;2017-02-25;17:14:00;2017-02-25;17:15:00;;27514;SUSPICIOUS/WANT;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;NOT APPLICABLE/NONE;;
140791;CHPD;FORCIBLE RAPE;XX XX;CHAPEL HILL;NC;;;Y;;2017-02-24;8:08:00;2017-02-10;18:00:00;2017-02-24;8:08:00;;27516;ASSAULT/SEXUAL;HOME OF VICTIM - OTHER DWELLING;;NOT APPLICABLE/NONE;B;F
140759;CHPD;DOMESTIC DISTURBANCE/NO ASSAULT;106 ASHLEY FOREST RD;CHAPEL HILL;NC;-79.05703336;35.94382435;N;35.94382435, -79.05703336;2017-02-23;19:18:00;2017-02-23;19:15:00;2017-02-23;19:18:00;A;27514;DOMESTIC DISTUR;HOME OF VICTIM - OTHER DWELLING;59.0;NOT APPLICABLE/NONE;W;M
140715;CHPD;SOLICITING WITHOUT A PERMIT;3912 SWEETEN CREEK RD AND TOYNBEE PL;CHAPEL HILL;NC;-79.02486019;35.9654261;;35.9654261, -79.02486019;2017-02-22;17:01:00;2017-02-22;17:01:00;2017-02-22;17:01:00;;27514;SUSPICIOUS/WANT;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;W;F
140549;CHPD;TOWED VEHICLE;SPRING LANE;CHAPEL HILL;NC;;;N;;2017-02-19;11:00:00;2017-02-19;11:00:00;2017-02-19;11:00:00;;27514;TRAFFIC VIOLATI;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
140531;CHPD;TRESPASSING;201 S ESTES DR;CHAPEL HILL;NC;-79.0297071;35.92785452;N;35.92785452, -79.0297071;2017-02-18;20:57:00;2017-02-18;20:57:00;2017-02-18;20:57:00;;27514;TRESPASSING/UNW;OTHER RETAIL ESTABLISHMENT;;NOT APPLICABLE/NONE;;
140528;CHPD;SIMPLE ASSAULT-OTHER;110 NEW STATESIDE DR;CHAPEL HILL;NC;-79.05954322;35.95572932;Y;35.95572932, -79.05954322;2017-02-18;19:27:00;2017-02-18;19:20:00;2017-02-18;19:25:00;;27516;ASSAULT/SEXUAL;OTHER NON-RESIDENTIAL BUILDING;55.0;PERSONAL WEAPONS (HANDS  FEET;B;M
140508;CHPD;ASSIST CARRBORO;100 PUBLIC WORKS DR;CARRBORO;NC;-79.07510253;35.90113724;N;35.90113724, -79.07510253;2017-02-18;11:00:00;2017-02-18;10:59:00;2017-02-18;11:00:00;;27510;MISC OFFICER IN;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
140372;CHPD;LOST PROPERTY;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;;35.92695367, -79.05292697;2017-02-15;12:41:00;2017-02-15;12:41:00;2017-02-15;12:41:00;;27514;ADMINISTRATIVE;GOVERNMENT/PUBLIC BUILDING;35.0;NOT APPLICABLE/NONE;A;M
141806;CHPD;INFORMATION;133 KINGSBURY DR;CHAPEL HILL;NC;-79.04869981;35.96442646;N;35.96442646, -79.04869981;2017-03-17;8:28:00;2017-03-17;8:28:00;2017-03-17;8:28:00;;27514;THEFT/LARCENY;PARKING LOT/AREA;27.0;NOT APPLICABLE/NONE;W;M
141899;CHPD;B&E    LARCENY F/VEHICLE;405 RANSOM ST;CHAPEL HILL;NC;-79.05665936;35.90558761;;35.90558761, -79.05665936;2017-03-19;17:35:00;2017-03-18;17:00:00;2017-03-19;17:35:00;;27516;THEFT/LARCENY;PARKING LOT/AREA;24.0;NOT APPLICABLE/NONE;W;F
141894;CHPD;TOWED VEHICLE;229 EAST FRANKLIN STREET;CHAPEL HILL;NC;-79.05100958;35.9153853;N;35.9153853, -79.05100958;2017-03-19;15:48:00;2017-03-19;15:48:00;2017-03-19;15:48:00;BLK;27514;MISC OFFICER IN;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141875;CHPD;DRIVING WHILE IMPAIRED;1705 FERRELL RD at LANDERWOOD LN;CHAPEL HILL;NC;-79.00865173;35.93413925;N;35.93413925, -79.00865173;2017-03-18;17:39:00;2017-03-18;17:30:00;2017-03-18;17:39:00;;27517;CARDIAC ARREST;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141947;CHPD;LARCENY-SHOPLIFTING;128 E FRANKLIN ST;CHAPEL HILL;NC;-79.05465297;35.91331983;N;35.91331983, -79.05465297;2017-03-20;18:10:00;2017-03-20;18:00:00;2017-03-20;18:10:00;;27514;THEFT/LARCENY;OTHER RETAIL ESTABLISHMENT;;PERSONAL WEAPONS (HANDS  FEET;;
141928;CHPD;B&E VEH (ATT LAR F/VEH);325 W UNIVERSITY DR;CHAPEL HILL;NC;-79.05947178;35.90349529;N;35.90349529, -79.05947178;2017-03-20;13:15:00;2017-03-18;21:00:00;2017-03-19;10:00:00;;27516;THEFT/LARCENY;HIGHWAY/ROAD/STREET  ETC.;66.0;NOT APPLICABLE/NONE;W;M
141902;CHPD;POSSESSION OF FIREARM BY FELON;5623 FORDHAM BLVD;DURHAM;NC;-79.0002602;35.94946207;N;35.94946207, -79.0002602;2017-03-19;10:29:00;2017-03-19;10:29:00;2017-03-19;10:29:00;303;27712;DISTURBANCE/NUI;HOTEL/MOTEL;;PERSONAL WEAPONS (HANDS  FEET;;
141880;CHPD;LOUD NOISE COMPLAINT;700 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05566439;35.92079513;N;35.92079513, -79.05566439;2017-03-19;3:20:00;2017-03-19;3:20:00;2017-03-19;3:20:00;H5;27514;DISTURBANCE/NUI;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
141834;CHPD;FRAUD-ALL OTHER;81 S ELLIOTT RD;CHAPEL HILL;NC;-79.02809665;35.93474596;;35.93474596, -79.02809665;2017-03-17;20:47:00;2017-03-17;20:47:00;2017-03-17;20:47:00;;27514;FRAUD OR DECEPT;GROCERY/SUPERMARKET;37.0;NOT APPLICABLE/NONE;I;F
141825;CHPD;TRESPASSING;409 W FRANKLIN ST;CHAPEL HILL;NC;-79.06115133;35.91085841;N;35.91085841, -79.06115133;2017-03-17;16:17:00;2017-03-17;14:28:00;2017-03-17;14:28:00;;27516;DISTURBANCE/NUI;RESTAURANT;;NOT APPLICABLE/NONE;;
141714;CHPD;INFORMATION;326 SUMMERWALK CIR;CHAPEL HILL;NC;-79.00878235;35.89617072;;35.89617072, -79.00878235;2017-03-15;12:35:00;2017-03-15;12:35:00;2017-03-15;12:35:00;;27517;PUBLIC SERVICE;OTHER RESIDENCE - OTHER DWELLING;26.0;UNKNOWN/NOT STATED;B;F
141678;CHPD;MISDEMEANOR LARCENY;1720 FORDHAM BLVD;CHAPEL HILL;NC;-79.02209265;35.93693797;N;35.93693797, -79.02209265;2017-03-14;15:00:00;2017-03-14;15:00:00;2017-03-14;15:00:00;;;THEFT/LARCENY;GROCERY/SUPERMARKET;;NOT APPLICABLE/NONE;;
141683;CHPD;BARKING DOGS;101 CULBRETH PARK DR;CHAPEL HILL;NC;-79.06406935;35.89156495;N;35.89156495, -79.06406935;2017-03-14;19:17:00;2017-03-14;19:17:00;2017-03-14;19:17:00;;27516;ANIMAL;HOME OF OFFENDER - SINGLE FAMI;;NOT APPLICABLE/NONE;;
141636;CHPD;SUSPICIOUS TEXT MESSAGES;1330 EPHESUS CHURCH RD;CHAPEL HILL;NC;-79.01911531;35.93348472;N;35.93348472, -79.01911531;2017-03-13;22:49:00;2017-03-13;22:48:00;2017-03-13;22:49:00;6;27517;PUBLIC SERVICE;OTHER RESIDENCE - OTHER DWELLING;;NOT APPLICABLE/NONE;;
141480;CHPD;LARCENY- ALL OTHER;1720 FORDHAM BLVD;CHAPEL HILL;NC;-79.02209265;35.93693797;N;35.93693797, -79.02209265;2017-03-10;19:36:00;2017-03-10;19:36:00;2017-03-10;19:36:00;;;MISC OFFICER IN;GROCERY/SUPERMARKET;;NOT APPLICABLE/NONE;;
141353;CHPD;B&E RESIDENCE NO FORCE;108 WINDHOVER DR;CHAPEL HILL;NC;-79.01838237;35.94673565;N;35.94673565, -79.01838237;2017-03-08;13:33:00;2017-03-08;10:41:00;2017-03-08;13:30:00;;27514;ALARMS;HOME OF VICTIM - SINGLE FAMILY;59.0;NOT APPLICABLE/NONE;W;F
