country,cause,sex,death,total_concentration
Liberia,Stroke,male,79,17.2
Liberia,Chronic obstructive pulmonary disease,male,24,17.2
Libya,Total,male,1632,44.2
Libya,Lower respiratory infections,male,180,44.2
Libya,"Trachea, bronchus, lung cancers",male,141,44.2
Libya,Ischaemic heart disease,male,972,44.2
Libya,Stroke,male,203,44.2
Libya,Chronic obstructive pulmonary disease,male,135,44.2
Lithuania,Total,male,1127,11.5
Lithuania,Lower respiratory infections,male,44,11.5
Lithuania,"Trachea, bronchus, lung cancers",male,73,11.5
Lithuania,Ischaemic heart disease,male,776,11.5
Lithuania,Stroke,male,181,11.5
Lithuania,Chronic obstructive pulmonary disease,male,53,11.5
Luxembourg,Total,male,70,10.2
Luxembourg,Lower respiratory infections,male,5,10.2
Luxembourg,"Trachea, bronchus, lung cancers",male,10,10.2
Luxembourg,Ischaemic heart disease,male,34,10.2
Luxembourg,Stroke,male,8,10.2
Luxembourg,Chronic obstructive pulmonary disease,male,13,10.2
Madagascar,Total,male,3307,21.4
Madagascar,Lower respiratory infections,male,1324,21.4
Madagascar,"Trachea, bronchus, lung cancers",male,84,21.4
Madagascar,Ischaemic heart disease,male,843,21.4
Madagascar,Stroke,male,701,21.4
Madagascar,Chronic obstructive pulmonary disease,male,355,21.4
Malawi,Total,male,1642,22.1
Malawi,Lower respiratory infections,male,908,22.1
Malawi,"Trachea, bronchus, lung cancers",male,6,22.1
Malawi,Ischaemic heart disease,male,408,22.1
Malawi,Stroke,male,188,22.1
Malawi,Chronic obstructive pulmonary disease,male,131,22.1
Malaysia,Total,male,5642,16
Malaysia,Lower respiratory infections,male,1075,16
Malaysia,"Trachea, bronchus, lung cancers",male,299,16
Malaysia,Ischaemic heart disease,male,2954,16
Malaysia,Stroke,male,772,16
Malaysia,Chronic obstructive pulmonary disease,male,542,16
Maldives,Total,male,29,7.6
Maldives,Lower respiratory infections,male,1,7.6
Maldives,"Trachea, bronchus, lung cancers",male,1,7.6
Maldives,Ischaemic heart disease,male,20,7.6
Maldives,Stroke,male,4,7.6
Maldives,Chronic obstructive pulmonary disease,male,3,7.6
Mali,Total,male,3451,31.2
Mali,Lower respiratory infections,male,1832,31.2
Mali,"Trachea, bronchus, lung cancers",male,17,31.2
Mali,Ischaemic heart disease,male,786,31.2
Mali,Stroke,male,419,31.2
Mali,Chronic obstructive pulmonary disease,male,397,31.2
Malta,Total,male,102,14
Malta,Lower respiratory infections,male,10,14
Malta,"Trachea, bronchus, lung cancers",male,12,14
Malta,Ischaemic heart disease,male,55,14
Malta,Stroke,male,11,14
Malta,Chronic obstructive pulmonary disease,male,13,14
Mauritania,Total,male,1007,40.8
Mauritania,Lower respiratory infections,male,592,40.8
Mauritania,"Trachea, bronchus, lung cancers",male,4,40.8
Mauritania,Ischaemic heart disease,male,262,40.8
Mauritania,Stroke,male,98,40.8
Mauritania,Chronic obstructive pulmonary disease,male,50,40.8
Mauritius,Total,male,276,13.5
Mauritius,Lower respiratory infections,male,18,13.5
Mauritius,"Trachea, bronchus, lung cancers",male,11,13.5
Mauritius,Ischaemic heart disease,male,140,13.5
Mauritius,Stroke,male,57,13.5
Mauritius,Chronic obstructive pulmonary disease,male,50,13.5
Mexico,Total,male,15940,20.1
Mexico,Lower respiratory infections,male,2242,20.1
Mexico,"Trachea, bronchus, lung cancers",male,526,20.1
Mexico,Ischaemic heart disease,male,8427,20.1
Mexico,Stroke,male,2004,20.1
Mexico,Chronic obstructive pulmonary disease,male,2741,20.1
Micronesia (Federated States of),Total,male,14,10.2
Micronesia (Federated States of),Lower respiratory infections,male,2,10.2
Micronesia (Federated States of),"Trachea, bronchus, lung cancers",male,1,10.2
Micronesia (Federated States of),Ischaemic heart disease,male,7,10.2
Micronesia (Federated States of),Stroke,male,3,10.2
Micronesia (Federated States of),Chronic obstructive pulmonary disease,male,2,10.2
Mongolia,Total,male,890,40.4
Mongolia,Lower respiratory infections,male,61,40.4
Mongolia,"Trachea, bronchus, lung cancers",male,59,40.4
Mongolia,Ischaemic heart disease,male,461,40.4
Mongolia,Stroke,male,278,40.4
Mongolia,Chronic obstructive pulmonary disease,male,31,40.4
Montenegro,Total,male,258,20.2
Montenegro,Lower respiratory infections,male,6,20.2
Montenegro,"Trachea, bronchus, lung cancers",male,31,20.2
Montenegro,Ischaemic heart disease,male,130,20.2
Montenegro,Stroke,male,70,20.2
Montenegro,Chronic obstructive pulmonary disease,male,21,20.2
Morocco,Total,male,6911,31
Morocco,Lower respiratory infections,male,953,31
Morocco,"Trachea, bronchus, lung cancers",male,604,31
Morocco,Ischaemic heart disease,male,3777,31
Morocco,Stroke,male,955,31
Morocco,Chronic obstructive pulmonary disease,male,622,31
Mozambique,Total,male,2755,19.4
Mozambique,Lower respiratory infections,male,1563,19.4
Mozambique,"Trachea, bronchus, lung cancers",male,25,19.4
Mozambique,Ischaemic heart disease,male,543,19.4
Mozambique,Stroke,male,455,19.4
Mozambique,Chronic obstructive pulmonary disease,male,169,19.4
Myanmar,Total,male,13887,34.7
Myanmar,Lower respiratory infections,male,2710,34.7
Myanmar,"Trachea, bronchus, lung cancers",male,889,34.7
Myanmar,Ischaemic heart disease,male,2935,34.7
Myanmar,Stroke,male,3882,34.7
Myanmar,Chronic obstructive pulmonary disease,male,3470,34.7
Namibia,Total,male,379,22.6
Namibia,Lower respiratory infections,male,157,22.6
Namibia,"Trachea, bronchus, lung cancers",male,4,22.6
Namibia,Ischaemic heart disease,male,104,22.6
Namibia,Stroke,male,57,22.6
Namibia,Chronic obstructive pulmonary disease,male,57,22.6
Nepal,Total,male,11877,94.3
Nepal,Lower respiratory infections,male,1967,94.3
Nepal,"Trachea, bronchus, lung cancers",male,465,94.3
Nepal,Ischaemic heart disease,male,5120,94.3
Nepal,Stroke,male,1939,94.3
Nepal,Chronic obstructive pulmonary disease,male,2387,94.3
Netherlands,Total,male,2739,12.1
Netherlands,Lower respiratory infections,male,249,12.1
Netherlands,"Trachea, bronchus, lung cancers",male,473,12.1
Netherlands,Ischaemic heart disease,male,1056,12.1
Netherlands,Stroke,male,351,12.1
Netherlands,Chronic obstructive pulmonary disease,male,610,12.1
New Zealand,Total,male,330,5.7
New Zealand,Lower respiratory infections,male,14,5.7
New Zealand,"Trachea, bronchus, lung cancers",male,22,5.7
New Zealand,Ischaemic heart disease,male,199,5.7
New Zealand,Stroke,male,46,5.7
New Zealand,Chronic obstructive pulmonary disease,male,50,5.7
Nicaragua,Total,male,581,16.9
Nicaragua,Lower respiratory infections,male,94,16.9
Nicaragua,"Trachea, bronchus, lung cancers",male,19,16.9
Nicaragua,Ischaemic heart disease,male,310,16.9
Nicaragua,Stroke,male,84,16.9
Nicaragua,Chronic obstructive pulmonary disease,male,75,16.9
Niger,Total,male,7431,70.8
Niger,Lower respiratory infections,male,5126,70.8
Niger,"Trachea, bronchus, lung cancers",male,12,70.8
Niger,Ischaemic heart disease,male,1246,70.8
Niger,Stroke,male,681,70.8
Niger,Chronic obstructive pulmonary disease,male,366,70.8
Nigeria,Total,male,71081,48.7
Nigeria,Lower respiratory infections,male,51082,48.7
Nigeria,"Trachea, bronchus, lung cancers",male,116,48.7
Nigeria,Ischaemic heart disease,male,11715,48.7
Nigeria,Stroke,male,5516,48.7
Nigeria,Chronic obstructive pulmonary disease,male,2652,48.7
Norway,Total,male,496,7
Norway,Lower respiratory infections,male,48,7
Norway,"Trachea, bronchus, lung cancers",male,42,7
Norway,Ischaemic heart disease,male,241,7
Norway,Stroke,male,67,7
Norway,Chronic obstructive pulmonary disease,male,97,7
Oman,Total,male,608,38.2
Oman,Lower respiratory infections,male,81,38.2
Oman,"Trachea, bronchus, lung cancers",male,19,38.2
Oman,Ischaemic heart disease,male,413,38.2
Oman,Stroke,male,75,38.2
Oman,Chronic obstructive pulmonary disease,male,20,38.2
Pakistan,Total,male,72101,55.2
Pakistan,Lower respiratory infections,male,15305,55.2
Pakistan,"Trachea, bronchus, lung cancers",male,1413,55.2
Pakistan,Ischaemic heart disease,male,33366,55.2
Pakistan,Stroke,male,10684,55.2
Pakistan,Chronic obstructive pulmonary disease,male,11333,55.2
Panama,Total,male,397,11.2
Panama,Lower respiratory infections,male,54,11.2
Panama,"Trachea, bronchus, lung cancers",male,14,11.2
Panama,Ischaemic heart disease,male,187,11.2
Panama,Stroke,male,83,11.2
Panama,Chronic obstructive pulmonary disease,male,58,11.2
Papua New Guinea,Total,male,1130,10.9
Papua New Guinea,Lower respiratory infections,male,245,10.9
Papua New Guinea,"Trachea, bronchus, lung cancers",male,13,10.9
Papua New Guinea,Ischaemic heart disease,male,540,10.9
Papua New Guinea,Stroke,male,217,10.9
Papua New Guinea,Chronic obstructive pulmonary disease,male,115,10.9
Paraguay,Total,male,739,11.2
Paraguay,Lower respiratory infections,male,84,11.2
Paraguay,"Trachea, bronchus, lung cancers",male,41,11.2
Paraguay,Ischaemic heart disease,male,384,11.2
Paraguay,Stroke,male,150,11.2
Paraguay,Chronic obstructive pulmonary disease,male,80,11.2
Peru,Total,male,5677,24.3
Peru,Lower respiratory infections,male,2446,24.3
Peru,"Trachea, bronchus, lung cancers",male,184,24.3
Peru,Ischaemic heart disease,male,1928,24.3
Peru,Stroke,male,594,24.3
Peru,Chronic obstructive pulmonary disease,male,524,24.3
Philippines,Total,male,27359,18.4
Philippines,Lower respiratory infections,male,6250,18.4
Philippines,"Trachea, bronchus, lung cancers",male,780,18.4
Philippines,Ischaemic heart disease,male,11557,18.4
Philippines,Stroke,male,5979,18.4
Philippines,Chronic obstructive pulmonary disease,male,2793,18.4
Poland,Total,male,15363,20.5
Poland,Lower respiratory infections,male,1549,20.5
Poland,"Trachea, bronchus, lung cancers",male,2121,20.5
Poland,Ischaemic heart disease,male,8223,20.5
Poland,Stroke,male,1713,20.5
Poland,Chronic obstructive pulmonary disease,male,1756,20.5
Portugal,Total,male,1488,7.9
Portugal,Lower respiratory infections,male,269,7.9
Portugal,"Trachea, bronchus, lung cancers",male,134,7.9
Portugal,Ischaemic heart disease,male,503,7.9
Portugal,Stroke,male,358,7.9
Portugal,Chronic obstructive pulmonary disease,male,224,7.9
Qatar,Total,male,266,90.3
Qatar,Lower respiratory infections,male,23,90.3
Qatar,"Trachea, bronchus, lung cancers",male,23,90.3
Qatar,Ischaemic heart disease,male,180,90.3
Qatar,Stroke,male,28,90.3
Qatar,Chronic obstructive pulmonary disease,male,12,90.3
Republic of Korea,Total,male,8887,24.6
Republic of Korea,Lower respiratory infections,male,1908,24.6
Republic of Korea,"Trachea, bronchus, lung cancers",male,1948,24.6
Republic of Korea,Ischaemic heart disease,male,2067,24.6
Republic of Korea,Stroke,male,1651,24.6
Republic of Korea,Chronic obstructive pulmonary disease,male,1313,24.6
Republic of Moldova,Total,male,1753,16
Republic of Moldova,Lower respiratory infections,male,120,16
Republic of Moldova,"Trachea, bronchus, lung cancers",male,93,16
Republic of Moldova,Ischaemic heart disease,male,1115,16
Republic of Moldova,Stroke,male,336,16
Republic of Moldova,Chronic obstructive pulmonary disease,male,90,16
Romania,Total,male,8662,14.3
Romania,Lower respiratory infections,male,545,14.3
Romania,"Trachea, bronchus, lung cancers",male,702,14.3
Romania,Ischaemic heart disease,male,4858,14.3
Romania,Stroke,male,1848,14.3
Romania,Chronic obstructive pulmonary disease,male,708,14.3
Russian Federation,Total,male,58373,13.7
Russian Federation,Lower respiratory infections,male,3045,13.7
Russian Federation,"Trachea, bronchus, lung cancers",male,4380,13.7
Russian Federation,Ischaemic heart disease,male,36028,13.7
Russian Federation,Stroke,male,11913,13.7
Russian Federation,Chronic obstructive pulmonary disease,male,3007,13.7
Rwanda,Total,male,1410,40.7
Rwanda,Lower respiratory infections,male,778,40.7
Rwanda,"Trachea, bronchus, lung cancers",male,9,40.7
Rwanda,Ischaemic heart disease,male,283,40.7
Rwanda,Stroke,male,201,40.7
Rwanda,Chronic obstructive pulmonary disease,male,140,40.7
Saint Lucia,Total,male,32,21.2
Saint Lucia,Lower respiratory infections,male,5,21.2
Saint Lucia,"Trachea, bronchus, lung cancers",male,2,21.2
Saint Lucia,Ischaemic heart disease,male,11,21.2
Saint Lucia,Stroke,male,8,21.2
Saint Lucia,Chronic obstructive pulmonary disease,male,7,21.2
Saint Vincent and the Grenadines,Total,male,25,21.2
Saint Vincent and the Grenadines,Lower respiratory infections,male,4,21.2
Saint Vincent and the Grenadines,"Trachea, bronchus, lung cancers",male,1,21.2
Saint Vincent and the Grenadines,Ischaemic heart disease,male,12,21.2
Saint Vincent and the Grenadines,Stroke,male,6,21.2
Saint Vincent and the Grenadines,Chronic obstructive pulmonary disease,male,2,21.2
Samoa,Total,male,24,10.6
Samoa,Lower respiratory infections,male,3,10.6
Samoa,"Trachea, bronchus, lung cancers",male,1,10.6
Samoa,Ischaemic heart disease,male,13,10.6
Samoa,Stroke,male,5,10.6
Samoa,Chronic obstructive pulmonary disease,male,3,10.6
Sao Tome and Principe,Total,male,28,25.7
Sao Tome and Principe,Lower respiratory infections,male,12,25.7
Sao Tome and Principe,"Trachea, bronchus, lung cancers",male,1,25.7
Sao Tome and Principe,Ischaemic heart disease,male,5,25.7
Sao Tome and Principe,Stroke,male,4,25.7
Sao Tome and Principe,Chronic obstructive pulmonary disease,male,5,25.7
Saudi Arabia,Total,male,7464,78.4
Saudi Arabia,Lower respiratory infections,male,1316,78.4
Saudi Arabia,"Trachea, bronchus, lung cancers",male,196,78.4
Saudi Arabia,Ischaemic heart disease,male,4352,78.4
Saudi Arabia,Stroke,male,1240,78.4
Saudi Arabia,Chronic obstructive pulmonary disease,male,360,78.4
Senegal,Total,male,2642,37.5
Senegal,Lower respiratory infections,male,1260,37.5
Senegal,"Trachea, bronchus, lung cancers",male,15,37.5
Senegal,Ischaemic heart disease,male,797,37.5
Senegal,Stroke,male,327,37.5
Senegal,Chronic obstructive pulmonary disease,male,243,37.5
Serbia,Total,male,3613,24.3
Serbia,Lower respiratory infections,male,161,24.3
Serbia,"Trachea, bronchus, lung cancers",male,586,24.3
Serbia,Ischaemic heart disease,male,1641,24.3
Serbia,Stroke,male,725,24.3
Serbia,Chronic obstructive pulmonary disease,male,499,24.3
Seychelles,Total,male,26,18.7
Seychelles,Lower respiratory infections,male,7,18.7
Seychelles,"Trachea, bronchus, lung cancers",male,1,18.7
Seychelles,Ischaemic heart disease,male,11,18.7
Seychelles,Stroke,male,4,18.7
Seychelles,Chronic obstructive pulmonary disease,male,2,18.7
Sierra Leone,Total,male,1690,20.6
Sierra Leone,Lower respiratory infections,male,830,20.6
Sierra Leone,"Trachea, bronchus, lung cancers",male,4,20.6
Sierra Leone,Ischaemic heart disease,male,514,20.6
Sierra Leone,Stroke,male,253,20.6
Sierra Leone,Chronic obstructive pulmonary disease,male,90,20.6
Singapore,Total,male,1252,18.3
Singapore,Lower respiratory infections,male,493,18.3
Singapore,"Trachea, bronchus, lung cancers",male,135,18.3
Singapore,Ischaemic heart disease,male,431,18.3
Singapore,Stroke,male,113,18.3
Singapore,Chronic obstructive pulmonary disease,male,81,18.3
Slovakia,Total,male,1593,17.5
Slovakia,Lower respiratory infections,male,169,17.5
Slovakia,"Trachea, bronchus, lung cancers",male,193,17.5
Slovakia,Ischaemic heart disease,male,874,17.5
Slovakia,Stroke,male,233,17.5
Slovakia,Chronic obstructive pulmonary disease,male,125,17.5
Slovenia,Total,male,478,15.8
Slovenia,Lower respiratory infections,male,51,15.8
Slovenia,"Trachea, bronchus, lung cancers",male,79,15.8
Slovenia,Ischaemic heart disease,male,217,15.8
Slovenia,Stroke,male,79,15.8
Slovenia,Chronic obstructive pulmonary disease,male,53,15.8
Solomon Islands,Total,male,63,10.7
Solomon Islands,Lower respiratory infections,male,10,10.7
Solomon Islands,"Trachea, bronchus, lung cancers",male,1,10.7
Solomon Islands,Ischaemic heart disease,male,29,10.7
Solomon Islands,Stroke,male,14,10.7
Solomon Islands,Chronic obstructive pulmonary disease,male,9,10.7
Somalia,Total,male,4237,29.5
Somalia,Lower respiratory infections,male,2996,29.5
Somalia,"Trachea, bronchus, lung cancers",male,12,29.5
Somalia,Ischaemic heart disease,male,693,29.5
Somalia,Stroke,male,363,29.5
Somalia,Chronic obstructive pulmonary disease,male,173,29.5
South Africa,Total,male,12861,23.6
South Africa,Lower respiratory infections,male,4307,23.6
South Africa,"Trachea, bronchus, lung cancers",male,632,23.6
South Africa,Ischaemic heart disease,male,3827,23.6
South Africa,Stroke,male,2006,23.6
South Africa,Chronic obstructive pulmonary disease,male,2089,23.6
South Sudan,Total,male,2841,41.1
South Sudan,Lower respiratory infections,male,1866,41.1
South Sudan,"Trachea, bronchus, lung cancers",male,16,41.1
South Sudan,Ischaemic heart disease,male,511,41.1
South Sudan,Stroke,male,291,41.1
South Sudan,Chronic obstructive pulmonary disease,male,157,41.1
Spain,Total,male,7057,9.5
Spain,Lower respiratory infections,male,561,9.5
Spain,"Trachea, bronchus, lung cancers",male,974,9.5
Spain,Ischaemic heart disease,male,2760,9.5
Spain,Stroke,male,917,9.5
Spain,Chronic obstructive pulmonary disease,male,1844,9.5
Sri Lanka,Total,male,3300,15.2
Sri Lanka,Lower respiratory infections,male,336,15.2
Sri Lanka,"Trachea, bronchus, lung cancers",male,73,15.2
Sri Lanka,Ischaemic heart disease,male,1938,15.2
Sri Lanka,Stroke,male,561,15.2
Sri Lanka,Chronic obstructive pulmonary disease,male,392,15.2
Sudan,Total,male,11339,47.9
Sudan,Lower respiratory infections,male,2711,47.9
Sudan,"Trachea, bronchus, lung cancers",male,57,47.9
Sudan,Ischaemic heart disease,male,6227,47.9
Sudan,Stroke,male,1547,47.9
Sudan,Chronic obstructive pulmonary disease,male,798,47.9
Suriname,Total,male,129,23.6
Suriname,Lower respiratory infections,male,19,23.6
Suriname,"Trachea, bronchus, lung cancers",male,6,23.6
Suriname,Ischaemic heart disease,male,63,23.6
Suriname,Stroke,male,33,23.6
Suriname,Chronic obstructive pulmonary disease,male,7,23.6
Sweden,Total,male,919,5.9
Sweden,Lower respiratory infections,male,58,5.9
Sweden,"Trachea, bronchus, lung cancers",male,47,5.9
Sweden,Ischaemic heart disease,male,569,5.9
Sweden,Stroke,male,138,5.9
Sweden,Chronic obstructive pulmonary disease,male,107,5.9
Switzerland,Total,male,1078,10.2
Switzerland,Lower respiratory infections,male,79,10.2
Switzerland,"Trachea, bronchus, lung cancers",male,129,10.2
Switzerland,Ischaemic heart disease,male,577,10.2
Switzerland,Stroke,male,116,10.2
Switzerland,Chronic obstructive pulmonary disease,male,177,10.2
Syrian Arab Republic,Total,male,4426,39.4
Syrian Arab Republic,Lower respiratory infections,male,318,39.4
Syrian Arab Republic,"Trachea, bronchus, lung cancers",male,295,39.4
Syrian Arab Republic,Ischaemic heart disease,male,3111,39.4
Syrian Arab Republic,Stroke,male,494,39.4
Syrian Arab Republic,Chronic obstructive pulmonary disease,male,210,39.4
Tajikistan,Total,male,2359,40
Tajikistan,Lower respiratory infections,male,470,40
Tajikistan,"Trachea, bronchus, lung cancers",male,40,40
Tajikistan,Ischaemic heart disease,male,1186,40
Tajikistan,Stroke,male,443,40
Tajikistan,Chronic obstructive pulmonary disease,male,220,40
Thailand,Total,male,19626,26.2
Thailand,Lower respiratory infections,male,5011,26.2
Thailand,"Trachea, bronchus, lung cancers",male,1912,26.2
Thailand,Ischaemic heart disease,male,5478,26.2
Thailand,Stroke,male,3616,26.2
Thailand,Chronic obstructive pulmonary disease,male,3609,26.2
The former Yugoslav republic of Macedonia,Total,male,829,28.3
The former Yugoslav republic of Macedonia,Lower respiratory infections,male,17,28.3
The former Yugoslav republic of Macedonia,"Trachea, bronchus, lung cancers",male,115,28.3
The former Yugoslav republic of Macedonia,Ischaemic heart disease,male,351,28.3
The former Yugoslav republic of Macedonia,Stroke,male,250,28.3
The former Yugoslav republic of Macedonia,Chronic obstructive pulmonary disease,male,95,28.3
Timor-Leste,Total,male,161,17.9
Timor-Leste,Lower respiratory infections,male,53,17.9
Timor-Leste,"Trachea, bronchus, lung cancers",male,11,17.9
Timor-Leste,Ischaemic heart disease,male,53,17.9
Timor-Leste,Stroke,male,30,17.9
Timor-Leste,Chronic obstructive pulmonary disease,male,15,17.9
Togo,Total,male,1839,32.7
Togo,Lower respiratory infections,male,938,32.7
Togo,"Trachea, bronchus, lung cancers",male,6,32.7
Togo,Ischaemic heart disease,male,524,32.7
Togo,Stroke,male,251,32.7
Togo,Chronic obstructive pulmonary disease,male,119,32.7
Tonga,Total,male,14,10.1
Tonga,Lower respiratory infections,male,2,10.1
Tonga,"Trachea, bronchus, lung cancers",male,1,10.1
Tonga,Ischaemic heart disease,male,7,10.1
Tonga,Stroke,male,2,10.1
Tonga,Chronic obstructive pulmonary disease,male,2,10.1
Trinidad and Tobago,Total,male,330,22
Trinidad and Tobago,Lower respiratory infections,male,32,22
Trinidad and Tobago,"Trachea, bronchus, lung cancers",male,15,22
Trinidad and Tobago,Ischaemic heart disease,male,191,22
Trinidad and Tobago,Stroke,male,63,22
Trinidad and Tobago,Chronic obstructive pulmonary disease,male,29,22
Tunisia,Total,male,3740,35.7
Tunisia,Lower respiratory infections,male,394,35.7
Tunisia,"Trachea, bronchus, lung cancers",male,322,35.7
Tunisia,Ischaemic heart disease,male,2117,35.7
Tunisia,Stroke,male,588,35.7
Tunisia,Chronic obstructive pulmonary disease,male,320,35.7
Turkey,Total,male,23135,42
Turkey,Lower respiratory infections,male,1376,42
Turkey,"Trachea, bronchus, lung cancers",male,4174,42
Turkey,Ischaemic heart disease,male,10182,42
Turkey,Stroke,male,2615,42
Turkey,Chronic obstructive pulmonary disease,male,4788,42
Turkmenistan,Total,male,1599,19
Turkmenistan,Lower respiratory infections,male,157,19
Turkmenistan,"Trachea, bronchus, lung cancers",male,43,19
Turkmenistan,Ischaemic heart disease,male,1047,19
Turkmenistan,Stroke,male,312,19
Turkmenistan,Chronic obstructive pulmonary disease,male,40,19
Uganda,Total,male,6657,48.4
Uganda,Lower respiratory infections,male,4416,48.4
Uganda,"Trachea, bronchus, lung cancers",male,43,48.4
Uganda,Ischaemic heart disease,male,1050,48.4
Uganda,Stroke,male,707,48.4
Uganda,Chronic obstructive pulmonary disease,male,441,48.4
Ukraine,Total,male,26482,18.3
Ukraine,Lower respiratory infections,male,637,18.3
Ukraine,"Trachea, bronchus, lung cancers",male,1573,18.3
Ukraine,Ischaemic heart disease,male,19097,18.3
Ukraine,Stroke,male,3736,18.3
Ukraine,Chronic obstructive pulmonary disease,male,1439,18.3
United Arab Emirates,Total,male,1188,39.4
United Arab Emirates,Lower respiratory infections,male,74,39.4
United Arab Emirates,"Trachea, bronchus, lung cancers",male,31,39.4
United Arab Emirates,Ischaemic heart disease,male,750,39.4
United Arab Emirates,Stroke,male,225,39.4
United Arab Emirates,Chronic obstructive pulmonary disease,male,109,39.4
United Kingdom of Great Britain and Northern Ireland,Total,male,11044,10.5
United Kingdom of Great Britain and Northern Ireland,Lower respiratory infections,male,1571,10.5
United Kingdom of Great Britain and Northern Ireland,"Trachea, bronchus, lung cancers",male,1215,10.5
United Kingdom of Great Britain and Northern Ireland,Ischaemic heart disease,male,4804,10.5
United Kingdom of Great Britain and Northern Ireland,Stroke,male,1271,10.5
United Kingdom of Great Britain and Northern Ireland,Chronic obstructive pulmonary disease,male,2183,10.5
United Republic of Tanzania,Total,male,7452,25.6
United Republic of Tanzania,Lower respiratory infections,male,4122,25.6
United Republic of Tanzania,"Trachea, bronchus, lung cancers",male,16,25.6
United Republic of Tanzania,Ischaemic heart disease,male,2030,25.6
United Republic of Tanzania,Stroke,male,792,25.6
United Republic of Tanzania,Chronic obstructive pulmonary disease,male,492,25.6
United States of America,Total,male,41706,7.4
United States of America,Lower respiratory infections,male,1993,7.4
United States of America,"Trachea, bronchus, lung cancers",male,3096,7.4
United States of America,Ischaemic heart disease,male,25201,7.4
United States of America,Stroke,male,4061,7.4
United States of America,Chronic obstructive pulmonary disease,male,7356,7.4
Uruguay,Total,male,514,8.6
Uruguay,Lower respiratory infections,male,49,8.6
Uruguay,"Trachea, bronchus, lung cancers",male,54,8.6
Uruguay,Ischaemic heart disease,male,218,8.6
Uruguay,Stroke,male,84,8.6
Uruguay,Chronic obstructive pulmonary disease,male,110,8.6
Uzbekistan,Total,male,8029,25.3
Uzbekistan,Lower respiratory infections,male,571,25.3
Uzbekistan,"Trachea, bronchus, lung cancers",male,149,25.3
Uzbekistan,Ischaemic heart disease,male,5870,25.3
Uzbekistan,Stroke,male,1224,25.3
Uzbekistan,Chronic obstructive pulmonary disease,male,215,25.3
Vanuatu,Total,male,33,10.3
Vanuatu,Lower respiratory infections,male,4,10.3
Vanuatu,"Trachea, bronchus, lung cancers",male,1,10.3
Vanuatu,Ischaemic heart disease,male,17,10.3
Vanuatu,Stroke,male,7,10.3
Vanuatu,Chronic obstructive pulmonary disease,male,4,10.3
Venezuela (Bolivarian Republic of),Total,male,4852,15.8
Venezuela (Bolivarian Republic of),Lower respiratory infections,male,514,15.8
Venezuela (Bolivarian Republic of),"Trachea, bronchus, lung cancers",male,237,15.8
Venezuela (Bolivarian Republic of),Ischaemic heart disease,male,2883,15.8
Venezuela (Bolivarian Republic of),Stroke,male,756,15.8
Venezuela (Bolivarian Republic of),Chronic obstructive pulmonary disease,male,463,15.8
Viet Nam,Total,male,20391,29.7
Viet Nam,Lower respiratory infections,male,2155,29.7
Viet Nam,"Trachea, bronchus, lung cancers",male,2197,29.7
Viet Nam,Ischaemic heart disease,male,6042,29.7
Viet Nam,Stroke,male,7031,29.7
Viet Nam,Chronic obstructive pulmonary disease,male,2965,29.7
Yemen,Total,male,7926,45
Yemen,Lower respiratory infections,male,1736,45
Yemen,"Trachea, bronchus, lung cancers",male,74,45
Yemen,Ischaemic heart disease,male,4306,45
Yemen,Stroke,male,1185,45
Yemen,Chronic obstructive pulmonary disease,male,625,45
Zambia,Total,male,1898,24.7
Zambia,Lower respiratory infections,male,1129,24.7
Zambia,"Trachea, bronchus, lung cancers",male,9,24.7
Zambia,Ischaemic heart disease,male,438,24.7
Zambia,Stroke,male,198,24.7
Zambia,Chronic obstructive pulmonary disease,male,123,24.7
Zimbabwe,Total,male,1676,19.4
Zimbabwe,Lower respiratory infections,male,986,19.4
Zimbabwe,"Trachea, bronchus, lung cancers",male,20,19.4
Zimbabwe,Ischaemic heart disease,male,316,19.4
Zimbabwe,Stroke,male,193,19.4
Zimbabwe,Chronic obstructive pulmonary disease,male,161,19.4
Afghanistan,Total,female,8038,53.2
Afghanistan,Lower respiratory infections,female,2892,53.2
Afghanistan,"Trachea, bronchus, lung cancers",female,64,53.2
Afghanistan,Ischaemic heart disease,female,3061,53.2
Afghanistan,Stroke,female,1439,53.2
Afghanistan,Chronic obstructive pulmonary disease,female,583,53.2
Albania,Total,female,780,17.9
Albania,Lower respiratory infections,female,30,17.9
Albania,"Trachea, bronchus, lung cancers",female,41,17.9
Albania,Ischaemic heart disease,female,402,17.9
Albania,Stroke,female,270,17.9
Albania,Chronic obstructive pulmonary disease,female,36,17.9
Algeria,Total,female,6481,35.2
Algeria,Lower respiratory infections,female,1226,35.2
Algeria,"Trachea, bronchus, lung cancers",female,104,35.2
Algeria,Ischaemic heart disease,female,3601,35.2
Algeria,Stroke,female,1154,35.2
Algeria,Chronic obstructive pulmonary disease,female,395,35.2
Angola,Total,female,4494,27.9
Angola,Lower respiratory infections,female,2811,27.9
Angola,"Trachea, bronchus, lung cancers",female,12,27.9
Angola,Ischaemic heart disease,female,808,27.9
Angola,Stroke,female,596,27.9
Angola,Chronic obstructive pulmonary disease,female,267,27.9
Antigua and Barbuda,Total,female,13,17.9
Antigua and Barbuda,Lower respiratory infections,female,2,17.9
Antigua and Barbuda,"Trachea, bronchus, lung cancers",female,0,17.9
